t_cadence,t_speed,t_watts,speed,watts,cadence,t_time,time,t_distance,distance,t_calories,calories
281,10.4,31,10.4,36,28,001_.0,0,0.00,0,1,0
28,10.4,1.._3_,10.4,36,28,1,0,0.00,0,1,0
28,0.10000000000000001,1...3_,10.4,36,28,001_10,0,0.00,0,1,0
281,10.4,31,10.4,36,28,1,0,0.00,0,1,0
281,0.104,31,10.4,36,28,1,0,0,0,1,0
28,10.4,36,10.4,36,28,1,0,0,0,1,0
281,10.4,31,10.4,36,28,1,0,0,0,1,0
281,10.4,3,10.4,36,28,1,0,0,0,0,0
281,10.4,31,10.4,36,28,100,0,0,0,0,0
281,10.4,13,10.4,36,28,1,0,0,0,1,0
28,10.4,11.300000000000001,10.4,36,28,100,0,0,0,0,0
281,10.4,31,10.4,36,28,1,0,0,0,1,0
28,10.4,31,10.4,36,28,100,0,0,0,1,0
28,10.4,31,10.4,36,28,1,0,0,0,0,0
28,10.4,31,10.4,36,28,100,0,0,0,1,0
28,10.4,31,10.4,36,28,1,0,0,0,0,0
281,10.4,31,10.4,36,28,100,0,0.00,0,1,0
281,10.4,0.31,10.4,36,28,1,0,0,0,0,0
28,10.4,1..136,10.4,36,28,-0,0,0,0,0,0
28,10.4,31,10.4,36,28,1,0,0,0,__01,0
28,10.4,31,10.4,36,28,1,0,0.00,0,0,0
28,10.4,31___,10.4,36,28,1,0,0,0,0,0
28,10.4,31,10.4,36,28,1,0,0,0,1,0
28,10.4,31,10.4,36,28,1,0,0,0,1,0
281,10.4,31,10.4,36,28,1,0,0,0,0,0
28,10.4,0.31,10.4,36,28,_001_0,0,0,0,0,0
28,10.4,1.361,10.4,36,28,001_.1,1,0,0,0,0
28,10.4,31,10.4,36,28,1,1,0,0,0,0
_2,10.4,11..131_,10.4,36,28,1,1,0,0,0,0
321,11.9,8991,11.9,49,32,1,1,0,0,0,0
32,11.9,849,11.9,49,32,1,1,0,0,0,0
321,0.11,6.49,11.9,49,32,1,1,0,0,1,0
321,..1.119,1.49,11.9,49,32,101,1,0.00,0,.-01,0
32,11.9,68491,11.9,49,32,1011,1,0,0,0.11,0
32,11.9,_491,11.9,49,32,101,1,0.00,0,.j_1,0
321,11.9,149,11.9,49,32,101,1,0.00,0,1,0
32,11.9,1.4099999999999999,11.9,49,32,1,1,0.00,0,1,0
32,11.9,6.4900000000000002,11.9,49,32,-1,1,0,0,0,0
32,11.9,841,11.9,49,32,1,1,0,0,0,0
32,11.9,8491,11.9,49,32,1,1,0,0,0,0
32,11.9,1....49,11.9,49,32,1,1,0,0,0,0
32,11.9,141__1,11.9,49,32,1,1,0,0,1,0
321,11.9,149,11.9,49,32,1,1,0,0,0,0
32,0.11,141,11.9,49,32,_001_1,1,0,0,1,0
32,11.9,1.41__1,11.9,49,32,-,1,0,0,0,0
32,11.9,11491,11.9,49,32,1,1,0,0,0,0
32,..7.n,6491,19.7,178,53,81,1,0,0,1,0
321,..11.9,b.41_1,11.9,49,32,1,1,0,0,0,0
32,11.9,1_..491,11.9,49,32,001_.1,1,0,0,j_1,0
32,11.9,41,11.9,49,32,1,1,0.00,0,d_1,0
32,11.9,41__1,11.9,49,32,1,1,0.00,0,__01,0
32,11.9,41,11.9,49,32,001_.1,1,0,0,1,0
321,11.9,1_1_1,19.0,159,51,001_.1,1,0,0,._01,0
32,11.9,1.4099999999999999,11.9,49,32,101,1,0.00,0,__01,0
321,11.9,1..491,11.9,49,32,1,1,0,0,0.1,0
32,..1_9,1491,11.9,49,32,1,1,0,0,0.1,0
32,11.9,1149,11.9,49,32,1,1,0,0,__01,0
321,11.9,1.49,11.9,49,32,001_c1,1,0.00,0,0,0
321,11,141,11.9,49,32,001__1,1,0,0,0,0
35,13.0,16,13.0,62,35,1,2,0,0,0,0
35,13.0,6,13.0,62,35,001_c1,2,0,0,0,0
35,13.0,1.6799999999999999,13.0,62,35,1,2,0,0,0,0
35,13.0,61,13.0,62,35,-_1,2,0,0,0,0
351,13,61,13.0,62,35,-,2,0,0,0,0
351,13.0,61,13.0,62,35,-,2,0.00,0,0,0
35,13.0,6,13.0,62,35,10,2,0.00,0,0,0
35,13.0,6,13.0,62,35,8102,2,0,0,0,0
35,13.0,61,13.0,62,35,102,2,0,0,0,0
351,13.0,6,13.0,62,35,81,2,0.01,1,0,0
351,13.0,0.68000000000000005,13.0,62,35,-.,2,0.01,1,0,0
351,13.0,6,13.0,62,35,_001__1,2,0.01,1,0,0
351,13.0,6,13.0,62,35,10,2,1,1,0,0
351,13.0,6,13.0,62,35,001__1,2,0.1,1,1,0
351,13.0,6,13.0,62,35,1,2,1,1,1,0
35,13.0,6,13.0,62,35,001__1,2,1,1,1,0
351,13.0,0.68000000000000005,13.0,62,35,001__1,2,1,1,0,0
351,13.0,68,13.0,62,35,_001__1,2,1,1,0,0
351,13.0,68,13.0,62,35,001__1,2,1,1,0,0
35,13.0,68,13.0,62,35,001__1,2,1,1,0,0
351,13.0,61,13.0,62,35,001__1,2,1,1,0,0
35,13.0,61,13.0,62,35,001__1,2,0.01,1,1,0
35,13.0,68,13.0,62,35,001__1,2,1,1,1,0
35,13.0,6,13.0,62,35,001__1,2,1,1,0.11,0
35,13.0,68,13.0,62,35,001__1,2,0,1,1,0
351,13.0,68,13.0,62,35,10,2,1,1,.-01,0
351,13.0,68,13.0,62,35,1,2,1,1,0,0
35,13.0,68,13.0,62,35,103,3,1,1,1,0
3,13.0,1...68_,13.0,62,35,1,3,1,1,1,0
3-11,13.7,_._,13.7,70,37,1,3,1,1,0,0
371,13.7,717,13.7,70,37,1,3,0,1,1,0
37,13.7,717,13.7,70,37,1,3,1,1,1,0
371,13.7,1717,13.7,70,37,-,3,1,1,1,0
371,13,1_717.,13.7,70,37,1,3,1,1,1,0
371,13.7,1.7,13.7,70,37,1,3,0,1,1,0
371,13.7,170,13.7,70,37,1,3,1,1,0,0
37,13.7,170,13.7,70,37,1,3,1,1,0,0
37,13.7,70,13.7,70,37,1,3,1,1,0,0
3-1_,13.7,70,13.7,70,37,1,3,1,1,0,0
371,13.7,70,13.7,70,37,1,3,1,1,0,0
371,13.7,70,13.7,70,37,-3,3,0.01,1,0,0
3-11,13,_709,13.7,70,37,1,3,1,1,1,0
37,13.7,11..70_.1,13.7,70,37,001_.3,3,1,1,1,0
371,13.7,1..70,13.7,70,37,001_.3,3,0.01,1,1,0
3-11,13.7,1..70.,13.7,70,37,81_.3,3,0.01,1,0,0
371,13.7,170,13.7,70,37,1,3,1,1,0,0
37,13.7,_..70._,13.7,70,37,103,3,1,1,1,0
3,13.7,1701,13.7,70,37,1,3,0.01,1,0,0
371,13.7,1..70_,13.7,70,37,81,3,1,1,1,0
3-11,13.7,8709,13.7,70,37,1,3,0.01,1,0,0
3-11,13.7,e70,13.7,70,37,1,3,0,1,0,0
3-1_,13.7,1.70,13.7,70,37,1,3,7,1,0,0
37,13.7,17171,13.7,70,37,1,3,0,1,.-0_,0
3-1_,13.7,17171,19.7,178,53,1,3,0.01,1,0,0
371,13.7,1..701,13.7,70,37,1,3,0.01,1,1,0
37,13.7,17,13.7,70,37,1,3,1,1,0,0
37,13.7,701,13.7,70,37,001_._,3,1,1,0,0
3,13,c.709,13.7,70,37,1,3,1,1,0,0
_1_,1_._,1.7170000000000001,19.0,159,51,104,4,1,1,0,0
41,15.2,0.89,15.2,89,41,104,4,1,1,1,0
411,15.2,e.81_,15.2,89,41,1,4,1,1,0,0
41,15.2,817,15.2,89,41,104,4,1,1,0,0
411,15.2,0.81000000000000005,15.2,89,41,1,4,0.01,1,0,0
41,15.2,0.81000000000000005,15.2,89,41,1,4,1,1,0,0
411,15.2,0.891,15.2,89,41,1,4,0.01,1,0,0
411,15.2,181,15.2,89,41,1,4,0.01,1,0,0
___411,15.2,189,15.2,89,41,1,4,7,1,0,0
411,15.2,181,15.2,89,41,1,4,0.02,2,0,0
411,15.2,18,15.2,89,41,1,4,0.02,2,0,0
411,15.2,81,15.2,89,41,17,4,0.02,2,0.1,0
411,15.2,81,15.2,89,41,1,4,0.02,2,0,0
41,15.2,181,15.2,89,41,1,4,0.02,2,1,0
411,15.2,81,15.2,89,41,-,4,0.02,2,0,0
411,15.2,81,15.2,89,41,001_1_,4,0.02,2,0,0
411,15.2,81,15.2,89,41,1,4,2,2,1,0
411,15.2,81,15.2,89,41,1,4,0.02,2,1,0
41,15.2,81,15.2,89,41,4,4,0.02,2,1,0
411,15.2,81,15.2,89,41,1,4,2,2,__01,0
411,15.2,81,15.2,89,41,1,4,0.02,2,j_1,0
411,15.2,81,15.2,89,41,1,4,0.02,2,11,0
41,15.2,81,15.2,89,41,-_,4,0.02,2,_01,0
41,15.2,81,15.2,89,41,104,4,0.02,2,8.1,0
41,15.2,81,15.2,89,41,1,4,2,2,1,0
411,15.2,81,15.2,89,41,1,4,0.02,2,1,0
411,15.2,81,15.2,89,41,81,4,0.02,2,__01,0
411,15.2,81,15.2,89,41,001_14,4,0.02,2,1,0
411,15.2,81,15.2,89,41,81,5,0.02,2,0.11,0
411,15,81,15.2,89,41,1,5,0.02,2,1,0
4,15,0.81000000000000005,15.2,89,41,_001_5,5,2,2,j1,0
42,15.6,69,15.6,96,42,1,5,0.02,2,0.1,0
42,15.6,0.91000000000000003,15.6,96,42,1,5,2,2,_1,0
42,15.6,0.91000000000000003,15.6,96,42,1,5,2,2,1,0
42,15.6,191,15.6,96,42,105,5,2,2,0.1,0
421,15.6,91,15.6,96,42,105,5,2,2,1,0
